Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
246	20.	20.	90.	9.1813e-002
247	20.	20.	95.	-1.2002
248	20.	15.	5.	4.2605e-003
249	20.	15.	10.	-4.2358e-004
250	20.	15.	15.	-3.1095e-004
251	20.	15.	20.	3.05e-004
252	20.	15.	25.	3.0614e-005
253	20.	15.	30.	3.3878e-005
254	20.	15.	35.	-7.4711e-007
255	20.	15.	40.	9.3177e-007
256	20.	15.	45.	-1.0767e-006
257	20.	15.	50.	-4.9053e-008
258	20.	15.	55.	-4.4842e-007
259	20.	15.	60.	2.6047e-005
260	20.	15.	65.	-1.4835e-005
261	20.	15.	70.	4.7755e-004
262	20.	15.	75.	-8.607e-004
263	20.	15.	80.	5.3919e-003
264	20.	15.	85.	-1.7399e-002
265	20.	15.	90.	1.0334e-002
266	20.	15.	95.	-0.42735
267	20.	10.	5.	-4.2605e-003
268	20.	10.	10.	4.2355e-004
269	20.	10.	15.	3.1088e-004
270	20.	10.	20.	-3.0491e-004
271	20.	10.	25.	-3.0623e-005
272	20.	10.	30.	-3.3805e-005
273	20.	10.	35.	7.0909e-007
274	20.	10.	40.	-8.8393e-007
275	20.	10.	45.	1.1056e-006
276	20.	10.	50.	2.7359e-008
277	20.	10.	55.	4.118e-007
278	20.	10.	60.	-2.5994e-005
279	20.	10.	65.	1.4864e-005
280	20.	10.	70.	-4.7751e-004
281	20.	10.	75.	8.6076e-004
282	20.	10.	80.	-5.3921e-003
283	20.	10.	85.	1.7399e-002
284	20.	10.	90.	-1.0334e-002
285	20.	10.	95.	0.42735
286	20.	5.	5.	-2.7e-003
287	20.	5.	10.	2.3179e-003
288	20.	5.	15.	-5.9617e-004
289	20.	5.	20.	-1.2859e-004
290	20.	5.	25.	-1.1463e-004
291	20.	5.	30.	-1.169e-005
292	20.	5.	35.	-5.0137e-006
293	20.	5.	40.	2.8557e-006
294	20.	5.	45.	5.0098e-007
295	20.	5.	50.	3.1251e-006
296	20.	5.	55.	-7.1501e-006
297	20.	5.	60.	-3.6405e-005
298	20.	5.	65.	-5.8126e-005
299	20.	5.	70.	-1.0378e-003
300	20.	5.	75.	1.6234e-003
301	20.	5.	80.	-1.5003e-002
302	20.	5.	85.	5.3619e-002
303	20.	5.	90.	-9.1813e-002
304	20.	5.	95.	1.2002
305	0.	5.	95.	1.2002
306	0.	5.	90.	-9.1813e-002
307	0.	5.	85.	5.3619e-002
